stratum,read_order,arxiv,label,invoker,fragment,note
A,32,2607.08541v1,X-ENGLISH,0,considering the confidence scores and spatial overlap between candidate boxes,the word describing NMS; no criterion invoked
A,33,2607.00746v1,X-SCORE,0,we report the Intersection-over-Union (IoU) of occupied voxels as the evaluation metric,
A,34,2606.22702v1,I-NAME,1,AP / AP_50 / AP_75 box and mask table,
A,35,2606.25652v1,I-DISC,1,"matching predictions to GT by 2D centre distance rather than by IoU, the latter being unstable",declines the criterion with a stated reason
A,36,2608.03136v1,B-SITE,1,"a single COCO-style AP (IoU 0.50 : 0.05 : 0.95 , maxDets = 100 per image)","the sweep again, colon-separated this time"
A,37,2603.10825v1,I-NAME,1,YOLOv9 outperforms YOLOv8 in mAP@50-95,the tick-46 name counter does not match the @50-95 form
A,38,2605.19213v1,X-ENGLISH,0,the acquisition regions of Scene 1 to Scene 3 partially overlap,
A,39,2606.08002v1,I-NAME,1,"We report COCO-style mask mAP, AP50, AP75",
A,40,2607.06592v1,I-DISC,1,"guarantees are difficult to obtain in object detection due to IoU matching, NMS, and bounding-box regression",
A,41,2607.17754v1,X-ENGLISH,0,Objects often overlap or block one another,
A,42,2606.29029v1,I-NAME,1,AP / AP_50 / AP_75 results table,
A,43,2607.08075v2,I-USE,1,mAP follows the official YouTube-VIS/LV-VIS protocol,
A,44,2607.02074v1,I-DISC,1,A high IoU does not always indicate accurate localization,
A,45,2607.25392v1,X-ENGLISH,0,has no overlap with RDVS,dataset disjointness
A,46,2606.14389v1,X-OTHER,0,we assign each SAM3 mask to the GT mask with the highest Intersection over Union (IoU),max-IoU matching for identifier assignment
A,47,2607.03696v1,X-LOSS,0,the weighted intersection-over-union loss (ell_wiou),"live text, not a comment - checked at source"
A,48,2603.18739v3,I-NAME,1,"We report the standard COCO detection metrics, including AP, AP_50, AP_75",
A,49,2606.28398v1,I-NAME,1,evaluated at mAP@0.5 with confidence threshold 0.3,
A,50,2607.26232v1,X-SCORE,0,"We evaluate localization with IoU, pixel F1, mask AP, and boundary F1",
A,51,2607.12231v1,X-ENGLISH,0,the two actors' timelines do not overlap at all,
A,52,2606.29136v1,I-NAME,1,AP_50 / mAP_50 / mAP_75 table; AP_0.5 uniformly used as the reported detection metric,
A,53,2607.10575v1,B-SITE,1,considered newly added if they do not match an original annotation at IoU threshold 0.5,"apposition: term, the word threshold, the number - no relation token"
A,54,2606.01947v1,X-SCORE,0,the mean Intersection-over-Union (mIoU) increasing by about 6%,also appears as an acronym-glossary row
A,55,2604.09421v1,I-USE,1,we employ IoU_phi [pascalvoc] as S metric ... If we set a threshold with 0.75,"states a threshold at a NON-focus value, and the sieve missed that too"
A,56,2606.22439v1,X-OTHER,0,"With multimask_output=True, the highest-IoU mask is selected",
A,57,2608.02137v1,X-SCORE,0,the localization and IoU changes further confirm the transferability,
A,58,2606.26295v1,I-NAME,1,The results in the form of AP50 are shown in,
A,59,2607.19942v2,I-NAME,1,achieving a mean AP_50:95 of 50.96 compared to 44.57,"live text, not a comment - checked at source"
A,60,2604.01742v1,X-SCORE,0,we use Intersection over Union (IoU) to evaluate segmentation mask quality,
A,61,2604.18957v1,I-NAME,1,The AP@0.50 jumps by over 24 percentage points to 0.6457,
A,62,2607.08201v1,X-OTHER,0,merge this dynamic online set with the static offline pseudo-labels via IoU-based matching,
A,63,2605.23472v1,I-NAME,1,"mask mAP@[0.5:0.95] for RarePlanes, and box mAP@50 for GDXray",the tick-46 name counter does not match the @50 form
A,64,2605.04506v2,X-SCORE,0,Performance is measured by mIoU and mAcc against ground-truth masks,
A,65,2603.17845v1,I-USE,1,TP(t) is defined as the number of matches ... with an IoU above the threshold t,"free-symbol threshold; also states t_nms = 0.9, a non-focus value"
A,66,2607.00124v1,I-NAME,1,AP / AP_50 / AP_75 fast-model table,
A,67,2605.03144v1,I-DISC,1,the Jaccard index ... were originally designed for semantic segmentation,
A,68,2603.21206v1,X-SCORE,0,the SEG measure ... the mean Jaccard index between each ground-truth object and its best-matching predicted object,"its 0.5 rule is on intersection-over-GT-area, a different statistic sharing the number"
A,69,2607.23981v1,B-SITE,1,AP at IoU 0.5 for known classes ... AP and mAP are reported at IoU 0.5,"apposition, no relation token"
A,70,2603.14309v1,X-OTHER,0,the number of masks B_l that have an IoU > tau with both B_i and B_j,graph-edge rule; also NMS with 3D IoU at a 0.1 threshold
A,71,2605.26102v2,I-USE,1,we report instance-level mAP in addition to the conventional IoU-based metric,
A,72,2606.12371v1,I-NAME,1,they significantly reduce the AP_50 value,
A,73,2606.28405v1,X-SCORE,0,the mean and standard deviation of Mean Intersection over Union (mIoU) and Dice,
A,74,2603.26638v1,X-ENGLISH,0,spatial edges connect concurrent frames from different cameras based on visual overlap,
A,75,2606.31029v1,I-NAME,1,mAP@50-95 / mAP@50 / mIoU results table,the tick-46 name counter does not match the @50 form
A,76,2604.02188v1,X-LOSS,0,optimised with a combined Focal Loss and Line IoU Loss,
A,77,2606.02724v1,X-OTHER,0,We align the R^local prediction with SAM3 detections by maximizing the intersection-over-union (IoU),
A,78,2607.02724v1,I-NAME,1,The primary evaluation metric is the mean Average Precision (mAP50) and the (mAP@0.5:0.95),
A,79,2607.21577v1,I-NAME,1,the 80.9% mAP50 accuracy rate achieved by the proposed RT-DETR model,
A,80,2606.25732v1,I-NAME,1,mAP_50 / mAP_75 / mAP_50:95 comparison table,
A,81,2607.17938v1,X-ENGLISH,0,indoor scenes have dense per-view overlap,
A,82,2607.10949v2,I-DISC,1,A geometrically smaller but functionally correct region could receive a low IoU score,declines the criterion for a task-specific error
A,83,2603.13961v2,I-NAME,1,Although its AP_50 is not the highest among all compared methods,
A,84,2607.24598v1,I-NAME,1,Metrics denote Average Precision (AP) at various IoU thresholds,
B,1,2607.01759v1,I-USE,1,the box mean average precision at an IoU threshold of 0.5 for 65 classes,site_real=yes
B,2,2607.21032v1,X-LOSS,0,a hybrid loss function consisting of a BCE loss and an intersection over union (IoU) loss,site_real=NO - the site runs from the term across the gap to `_i=1`
B,3,2607.01983v1,I-USE,1,we report BEV AP (%) and 3D AP (%) for the sedan category at IoU = 0.5,site_real=yes
B,4,2607.05467v1,I-USE,1,the mean average precision at IoU threshold 0.50 is reported as mAP@0.50,site_real=yes
B,5,2606.21594v1,I-NAME,1,"BbM achieves consistently higher AP_50, AP_75, and mIoU",site_real=NO - the site is the reported value mIoU=0.92
B,6,2607.05176v2,I-USE,1,AP is computed by averaging results over IoU thresholds from 0.50 to 0.95,site_real=yes
B,7,2607.20238v1,I-NAME,1,"The detection performance is evaluated at mAP, AP50, and AP75 metrics",site_real=NO - the sites are reported mIoU gains
B,8,2606.15427v1,I-USE,1,average precision (AP) ... each at the 0.50 IoU threshold and averaged across IoU thresholds from 0.50 to 0.95,site_real=yes
B,9,2606.30179v1,I-NAME,1,"HiRes achieves a detection mAP_50 of 0.9906, a segmentation mIoU of 0.8444",site_real=NO - the sites are reported mIoU values
B,10,2607.09115v2,I-NAME,1,"detection accuracy remains largely preserved, with mAP@0.5 decreasing by less than 0.099",site_real=yes but non-focus: the site is the NMS threshold tau_nms = 0.45
B,11,2608.00508v1,I-USE,1,the mean average precision at an intersection-over-union threshold of 0.1 (mAP@0.1),"site_real=yes, non-focus: the criterion applied at 0.1"
B,12,2605.09936v1,I-USE,1,annotations retained at IoU > 0.80,"site_real=yes, non-focus"
B,13,2608.04865v1,I-USE,1,IoU threshold between 0.5 and 0.95 with steps of 0.05,site_real=yes
B,14,2607.27585v1,X-SCORE,0,an IoU of 0.9008 between annotators,site_real=NO - the site is a reported inter-annotator agreement
B,15,2604.10609v1,I-USE,1,SEG ... measures the quality of instance segmentation at an IoU threshold of 0.5,site_real=yes
B,16,2607.05649v1,I-USE,1,IoU > 0.50,site_real=yes; other sites are reported IoU scores above 85%
B,17,2607.00747v1,X-ENGLISH,0,per-pool coverage differential ... overlap (1 of 71),site_real=NO - the word overlap beside an unrelated count
B,18,2605.15673v1,I-USE,1,segmentation mAP ... over IoU thresholds ranging from 0.50,site_real=yes; another site is the flight overlap of 80%
B,19,2604.08916v1,I-USE,1,we evaluate ... at IoU thresholds of 0.25 and from 0.50,site_real=yes
B,20,2604.24718v1,X-OTHER,0,mask overlap falls below a threshold theta_IoU = 0.15,"site_real=yes, non-focus: a tracking-association threshold"
B,21,2603.27993v1,X-SCORE,0,"on RefCOCO, RefCOCO+, and RefCOCOg using both oIoU and mIoU",site_real=NO - the site is a reported mIoU gain
B,22,2606.25324v1,I-USE,1,we adopt two sets of metrics ... at IoU thresholds of 0.5,site_real=yes
B,23,2607.17340v1,I-USE,1,evaluated at the 0.5 IoU threshold,site_real=yes
B,24,2607.16351v1,I-USE,1,an IoU threshold of 0.40 in the detection and tracking pipeline,"site_real=yes, non-focus"
