n,arxiv,era,match,value_as_written,role,sieve_target,hand_document,cites_in_window,hand_note
59,2112.14023v1,E3,IoU = 0.5,0.5,criterion,other,none,4,AP_3D results table
60,2112.14023v1,E3,IoU = 0.5,0.5,criterion,other,other,7,"'Following [brazil2019m3d, ding2020learning]'"
61,2112.15458v3,E3,IoU) threshold of 0.5,0.5,criterion,other,none,1,KITTI pedestrian experiments
62,2410.00267v1,E4,IoU > 0.5,0.5,criterion,none,none,0,'the predicted bounding box is labeled as correct if IoU>0.5'
63,2412.20645v1,E4,IoU threshold sigma _1 = 0.5,0.5,internal,none,n/a,0,pseudo-label IoU threshold for training the unknown wildcard
64,2503.24389v1,E4,IoU threshold of 0.5,0.5,criterion,detector,none,1,mAP_0.5 defined in a results-table caption
65,2506.23581v2,E4,IoU threshold of 0.5,0.5,criterion,coco,none,5,adversarial-texture evaluation; the cited works are datasets and detectors
66,2507.00224v1,E4,IoU) threshold of 0.5,0.5,criterion,voc,voc,2,"THE DERIVING DOCUMENT at the site: everingham2010pascal, with everingham2015pascal beside it, in the mAP_50 definition"
67,2509.26158v2,E4,IoU is less than 0.5,0.5,internal,none,n/a,0,prediction-keeping filter for a partitioned evaluation
68,2603.28670v1,E4,IoU = 0.5,0.5,criterion,none,none,0,abbreviations table: mAP@0.5 spelled out
69,2606.31015v1,E4,IoU=0.50,0.50,criterion,none,none,0,mAP50 defined in the metrics paragraph
70,2606.31157v1,E4,intersection-over-union threshold of 0.50,0.50,criterion,none,none,0,AP@50 defined in a results paragraph
71,2606.31373v1,E4,IoU) threshold of 0.5,0.5,criterion,other,none,1,'Following standard protocols in cross-domain object detection'; the one cite key in the window does not resolve in the paper's own bibliography
