literature,read_order,arxiv,label,invoker,stated_value,evidence
gaia,22,2306.13130,I-DECLINE,1,,"'Since we are searching for binaries as well, we do not impose any restriction on the RUWE parameter' — the criterion is considered and explicitly declined. Label added during the reading; see TRACE."
gaia,23,2406.11593,I-DISC,1,,"'The renormalized unit weight error (RUWE), a measure of the goodness-of-fit in Gaia, can provide an indication of these situations' — a claim about what the statistic indicates, inside the paper's own argument."
gaia,24,2302.02611,X-QUERY,0,,"'ruwe & astrometric quality flag' — one match, a row in the paper's column-description table."
gaia,25,2305.10269,X-QUERY,0,,"'we have provided researchers with member star information ... including astrometric data, uncertainties, ruwe values, photometry' and a table column headed 'ruwe' — the column is passed through into the paper's released catalogue; no rule is stated."
gaia,26,2407.02594,X-CITE,0,,"'which has often been used to select strong candidates through the so called Renormalised Unit Weight Error [cite]. Of the likes, [cite] analyse RUWE-excessive candidates' — related work only; the paper does not use it."
gaia,27,2201.05614,I-USE,1,,"'The reported ruwe value is 1.11, indicating a reasonably good single-star astrometric solution' — the value is read as evidence about the paper's own object."
gaia,28,2312.10158,I-USE,1,,"'the RUWE values for both components are relatively low, which indicates reliable astrometric estimations from Gaia' — read as evidence about the paper's own system."
gaia,29,2109.11951,I-USE,1,,"'Another indicator that the Gaia solution is strongly perturbed comes from the RUWE parameter, which is as high as 16.1 for A' — the value carries the paper's argument."
gaia,30,2111.01860,I-USE,1,,"'three digits corresponding to astrometric fidelity (in particular the renormalised unit-weight error, ruwe) ... In this work we make use of the quality criteria established by [cite]' — applied indirectly, through an inherited quality flag."
gaia,31,2111.01145,B-SITE,1,"max(mean ruwe + sigma, 1.4)","'\verb|ruwe| < max(\overline{ruwe} + \sigma_{ruwe}, 1.4)' — a threshold IS stated, in a table of selection cuts, and it is a data-dependent expression that FALLS BACK to 1.4."
gaia,32,2310.06295,I-USE,1,,"'global properties of the parameter distributions as the minimum, mean and maximum astrometric and photometric errors, astrometric excess noise, RUWE ... the HESIOD score is assigned' — RUWE is an input of the paper's own score."
gaia,33,2206.08383,B-SITE,1,1.3,"'RUWE should be around 1 for well-behaved sources, and higher values (RUWE \gtrsim 1.3) suggests ... the presence of a stellar companion' — a threshold IS stated, at 1.3, in \gtrsim."
gaia,34,2506.17861,B-SITE,1,1.4,"'the reported RUWE is 0.973, which is lower than the commonly accepted threshold in literature of \gtrsim 1.4' — the focus value IS stated, in \gtrsim, and named as a convention of the literature."
gaia,35,2406.18767,I-DECLINE,1,,"'We include in our analysis all Gaia stars, regardless of the quality of the measured parameters (given by RUWE, for example). This is necessary to achieve completeness' — the criterion is considered and explicitly declined."
gaia,36,2408.14694,I-USE,1,,"'constraints from MOLUSC utilizing the Gaia RUWE, HPF RVs and high contrast imaging curves' — RUWE is an input of the paper's own false-positive analysis."
gaia,37,2109.09185,B-SITE-WEAK,1,1,"'This conclusion is also supported by a renormalised unit weight error (RUWE) of ~13; for well-behaved sources RUWE ~ 1 is expected' — the value carries the argument; a reference expectation, not a decision rule."
gaia,38,2207.08742,I-USE,1,,"'the EDR3 quality parameters\footnote{The re-normalised unit weight error, RUWE ... are inspected.} indicate an inconsistent parallax measurement' — inspected, and the inspection decides which distances the paper derives."
gaia,39,2111.03887,B-SITE,1,1.4,"'The renormalized unit weight error ruwe is 2.4 and this is greater than the 1.4 level that may indicate a resolved double' — the focus value IS stated, with the relation in prose ('greater than') and the paper's own value 2.4 standing between term and threshold."
gaia,40,2304.12490,X-QUERY,0,,"'\nocolhead{RUWE}' — the term appears only as a (suppressed) column head in the paper's own table; no rule, no value in the window."
gaia,41,2112.07023,B-SITE,1,1.2,"'remove any for which the renomalised unit weight error [cite] is greater than 1.2. This cut on RUWE effectively removes those with poor astrometric solutions' — a threshold IS stated. The cause is not the citation: the paper writes 'renomalised'. The sieve's English is correct and the paper's is not (fault G9, reproduced with its control)."
gaia,42,2107.12691,I-USE,1,,"'we adopted some criteria to reject sources with possible bad astrometry based on Gaia EDR3's re-normalised unit weight error (RUWE)' — applied as a rejection criterion, no value stated."
gaia,43,2107.06373,B-SITE,1,1.4,"'seven WDs have tabulated proper motion and parallax measurements with the renormalized unit weight error [cite,cite] < 1.4' — the focus value IS stated; a citation marker stands between term and relation."
gaia,44,2601.03810,I-USE,1,,"'RUWE & 1.085' in the paper's Gaia DR3 astrometry table for its object — reported as a quality datum."
gaia,45,2305.03557,I-USE,1,,"'companions that have poor astrometric fits according to their large values of RUWE' — the statistic decides which sources the paper omits."
gaia,46,2404.02976,I-USE,1,,"'they all have high RUWE values, which indicates poor astrometric fits and thus less certain positions' — read as evidence about the paper's own candidates."
gaia,47,2510.18343,I-DISC,1,,"'only around 2% of cluster-member stars would be binaries with a high RUWE ... Some additional binaries without a high RUWE (such as those with a period near one year) would also have poor astrometry' — a claim about what the statistic catches and misses."
gaia,48,2312.03162,B-SITE,1,1.2,"'only binaries where both stars have a RUWE internal Gaia single star solution quality index <1.2' — a threshold IS stated. The cause is not the apposition: a LINE BREAK falls between 'Gaia' and 'single' (fault G8, reproduced with its control). Where the author's editor wrapped the line decides whether the instrument sees the threshold."
gaia,49,2507.09622,I-USE,1,,"'we adopt the inflation model from [cite] to adjust uncertainties based on the Renormalized Unit Weight Error (RUWE)' — RUWE drives the paper's own uncertainty treatment."
gaia,50,2402.14960,I-DISC,1,,"'issues with spurious large parallax values and high astrometric noise (through parameters astrometric_sigma5d_max, astrometric_excess_noise or ruwe). Different methods have been proposed ... to filter these' — a claim about the statistic's role."
gaia,51,2310.15671,X-QUERY,0,,"'ruwe: Renormalized Unit Weight Error (RUWE) assessing the reliability of Gaia astrometric solutions' — an entry in the paper's column glossary."
gaia,52,2204.13672,I-DISC,1,,"'These can usually be filtered out using quality parameters such as the re-normalised unit weight error (RUWE) ... [cite] showed that such simple filtering does not necessarily remove spurious sources' — a claim about the statistic's sufficiency."
gaia,53,2407.20949,B-SITE-WEAK,1,1,"'their Gaia Renormalized Unit Weight Error (RUWE, [cite]), which is an indicator of multiplicity, are lower than 1 ..., indicating that the components are not themselves binary systems' — a relation and a value licensing an inference; the weakest class-B call of this census, and recorded as such."
mcmc,1,2601.16696v1,X-CITE,0,,"'Equipartition was used in LAPS as a convergence metric ... One alternative is the split-\hat R statistics [cite], which could also be useful' — named as an alternative the paper does not use."
mcmc,2,2605.27889v2,I-USE,1,,"'in the joint model the maximum \hat R is 1.01 and there were no divergent transitions' — the paper's own convergence report."
mcmc,3,2512.08173v1,B-SITE,1,1.1,"'we evaluate the estimated potential scale reduction factor ([cite]) for all unknown parameters ... this factor is generally around 1.00 or below the commonly accepted threshold of 1.1' — the focus value IS stated, and named as the commonly accepted threshold."
mcmc,4,2607.14860v1,I-DECLINE,1,,"'Inference is based on a single long chain, so the multi-chain Gelman--Rubin \widehat R statistic is unavailable' — considered, and unavailable by the paper's own design."
mcmc,5,2508.18413v2,I-DECLINE,1,,"'We do not use traditional MCMC metrics like effective sample size (ESS) or \hat R because such metrics mainly target the autocorrelatedness of traditional sequential MCMC algorithms' — considered and declined, with a reason."
mcmc,6,2605.29193v1,I-USE,1,,"'The \hat R statistic for convergence assessment [cite]' (figure caption) and 'we computed the Gelman–Rubin and Brooks diagnostics ... which compare within- and between-chain variances' — applied to the paper's own chains."
mcmc,7,2605.21782v1,I-USE,1,,"'Stored samples are used to compute Gelman-Rubin statistics [cite] to assess convergence across parallel chains' — the software the paper presents computes it."
mcmc,8,2510.03587v2,X-NOTATION,0,,"'any noisy estimate \hat R _N(\theta, \theta', u, u') where u_N \sim F_\theta' — a hatted R denoting a noisy estimate of the Metropolis-Hastings ratio R_MH. Not Gelman-Rubin."
mcmc,9,2605.14565v2,I-USE,1,,"'Convergence was evaluated using traceplots, the potential scale reduction statistic \widehat R , and effective sample size summaries' — applied to the paper's own fits."
mcmc,10,2508.16556v1,I-USE,1,,"'Convergence and mixing are evaluated using standard MCMC diagnostics across multiple chains, such as the effective sample size (ESS) and the potential scale reduction factor \hat R' plus a results table reporting 'Maximum \hat R'."
mcmc,11,2605.09064v1,I-USE,1,,"'assessed convergence using standard diagnostics (R-hat, effective sample size, trace plots)' — applied, no value stated."
mcmc,12,2602.14616v2,I-USE,1,,"a benchmark table with a '\hat R' column per sampler ('1.0052 ... 2.4501') — the statistic is a reported result of the paper's own experiments."
mcmc,13,2605.12901v1,I-USE,1,,"'Convergence and sampling efficiency are assessed using rank-normalised potential scale reduction, bulk and tail effective sample sizes, and post-warm-up divergences [cite]' — applied."
mcmc,14,2605.23048v1,I-USE,1,,"'the potential scale reduction factor ( \hat R ), which is commonly used to assess chain convergence' plus a posterior-summary table with a \hat R column (1.002, 1.001)."
mcmc,15,2606.23358v1,B-SITE-WEAK,1,1,"'The \widehat R being close to or equal to 1 indicates that almost all of the parameters converged to their stationary distribution' — a reference level licensing the conclusion, not an imposed cut; and 'equal to' is not in the instrument's relation vocabulary."
mcmc,16,2606.14902v1,I-USE,1,,"'MCMC convergence was evaluated ... quantified numerically using the ESS and the Gelman-Rubin statistic [cite]' plus per-parameter \hat R tables."
mcmc,17,2606.18806v1,I-USE,1,,"'Convergence is assessed using trace diagnostics, the potential scale reduction factor (\hat R), and effective sample size criteria' — applied."
mcmc,18,2605.30722v2,I-DISC,1,,"'Practitioners rely on heuristic diagnostics---trace plots, the \hat R statistic [cites], effective sample size estimates---that can detect certain pathologies but cannot certify convergence' — the paper's argument is about what the statistic cannot do."
mcmc,19,2604.02304v1,X-NOTATION,0,,"'Define \widehat R _0^{(K)} and \widehat R _1^{(K)} ... with Corr replaced by \widehat{Corr}' — hatted Rs denoting sample correlation functionals. Not Gelman-Rubin."
mcmc,20,2607.19498v1,B-SITE-WEAK,1,1,"'Gelman-Rubin statistic (\hat R ) values close to 1 across simulation settings' — a reference level licensing the convergence claim; 'close to' is not a relation the instrument knows."
