rfc,title,idx,section,token,reader_verdict,category,sentence
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,7,-,3.3,ARTEFACT,table-of-contents,Identifying the Roles Involved Is Important 3.3.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,8,-,3.4,ARTEFACT,table-of-contents,A Common Vocabulary Is Necessary 3.4.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,9,-,3.5,ARTEFACT,table-of-contents,Privacy and Trust Expectations Need Further Discussion 3.5.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,10,-,3.6,ARTEFACT,table-of-contents,More Than One Approach Will Be Required 3.6.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,11,-,3.7,ARTEFACT,table-of-contents,Mapping the Risks for Architectures Is a Useful Next Step 3.7.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,12,-,4,ARTEFACT,table-of-contents,Safety Requires More Than a Technical Solution 4.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,13,-,5,ARTEFACT,table-of-contents,Security Considerations 5.
RFC 9998,Report from the IAB/W3C Workshop on Age-Based Restrictions on Content Access,14,-,6,ARTEFACT,table-of-contents,IANA Considerations 6.
RFC 9997,YANG-CBOR: Allocating SID Ranges for Private Enterprise Number (PEN) Holders,1,1,38,ARTEFACT,reported-statistic,"At the time of writing (~38 years after registry creation), around 66 000 PENs are registered."
RFC 9997,YANG-CBOR: Allocating SID Ranges for Private Enterprise Number (PEN) Holders,2,1,66,ARTEFACT,reported-statistic,"At the time of writing (~38 years after registry creation), around 66 000 PENs are registered."
RFC 9997,YANG-CBOR: Allocating SID Ranges for Private Enterprise Number (PEN) Holders,3,1,000,ARTEFACT,split-number,"At the time of writing (~38 years after registry creation), around 66 000 PENs are registered."
RFC 9997,YANG-CBOR: Allocating SID Ranges for Private Enterprise Number (PEN) Holders,4,3,two,PARAM,borderline: count the document assigns,This document assigns two mega-ranges as an extremely-low-threshold (zero-interaction) way for a PEN holder to obtain a number space for the YANG SIDs used in their YANG modules.
RFC 9996,Media Types for Protocol Buffers,1,4,two,ARTEFACT,count-of-things,See Section 7 for the defaults for each of the two registered media types.
RFC 9996,Media Types for Protocol Buffers,2,6,8,ARTEFACT,spec-name,"Note that UTF-8 validation of string fields is optional (see [ProtoFeatures]), and a manual well-formedness check may be necessary."
RFC 9996,Media Types for Protocol Buffers,3,7.2,8,ARTEFACT,spec-name,"Required parameters: charset, which must be set to utf-8 (case- insensitive)"
RFC 9995,CBOR Object Signing and Encryption (COSE) Hash Envelope,1,4,258,ARTEFACT,code-point,* Label 258 (payload_hash_alg) MUST be present in the protected header and MUST NOT be present in the unprotected header.
RFC 9995,CBOR Object Signing and Encryption (COSE) Hash Envelope,2,4,259,ARTEFACT,code-point,* Label 259 (payload_preimage_content_type) MAY be present in the protected header and MUST NOT be present in the unprotected header.
RFC 9995,CBOR Object Signing and Encryption (COSE) Hash Envelope,3,4,260,ARTEFACT,code-point,* Label 260 (payload_location) MAY be present in the protected header and MUST NOT be present in the unprotected header.
RFC 9995,CBOR Object Signing and Encryption (COSE) Hash Envelope,4,4,3,ARTEFACT,code-point,* Label 3 (content_type) MUST NOT be present in the protected or unprotected headers.
RFC 9995,CBOR Object Signing and Encryption (COSE) Hash Envelope,5,5.1,256,ARTEFACT,spec-name,"For example, if the payload was produced with SHA-256, and is signed with ECDSA, use at least P-256 and SHA-256."
RFC 9995,CBOR Object Signing and Encryption (COSE) Hash Envelope,6,5.1,256,ARTEFACT,spec-name,"For example, if the payload was produced with SHA-256, and is signed with ECDSA, use at least P-256 and SHA-256."
RFC 9995,CBOR Object Signing and Encryption (COSE) Hash Envelope,7,5.1,256,ARTEFACT,spec-name,"For example, if the payload was produced with SHA-256, and is signed with ECDSA, use at least P-256 and SHA-256."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,1,4.1,4,ARTEFACT,code-point,"If a packet is received with an LSE containing the bSPL (4) and with S bit set to 1, then the packet MUST be dropped."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,2,5,4,ARTEFACT,code-point,The label value of the LSE contains the MNA bSPL (4) to indicate the presence of the MNA Sub-Stack.
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,3,5.2,7,ARTEFACT,field-width,"Thus, the available bits for data that can change by a transit node or differ among packets of the same flow in Format A and Format B LSEs is 0, in a Format C LSE 7 (bits 20-22 and 25-28), and in a Format D LSE 11 (bits 20-22 and 24-31)."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,4,5.2,20,ARTEFACT,field-width,"Thus, the available bits for data that can change by a transit node or differ among packets of the same flow in Format A and Format B LSEs is 0, in a Format C LSE 7 (bits 20-22 and 25-28), and in a Format D LSE 11 (bits 20-22 and 24-31)."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,5,5.2,22,ARTEFACT,field-width,"Thus, the available bits for data that can change by a transit node or differ among packets of the same flow in Format A and Format B LSEs is 0, in a Format C LSE 7 (bits 20-22 and 25-28), and in a Format D LSE 11 (bits 20-22 and 24-31)."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,6,5.2,25,ARTEFACT,field-width,"Thus, the available bits for data that can change by a transit node or differ among packets of the same flow in Format A and Format B LSEs is 0, in a Format C LSE 7 (bits 20-22 and 25-28), and in a Format D LSE 11 (bits 20-22 and 24-31)."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,7,5.2,28,ARTEFACT,field-width,"Thus, the available bits for data that can change by a transit node or differ among packets of the same flow in Format A and Format B LSEs is 0, in a Format C LSE 7 (bits 20-22 and 25-28), and in a Format D LSE 11 (bits 20-22 and 24-31)."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,8,5.2,11,ARTEFACT,field-width,"Thus, the available bits for data that can change by a transit node or differ among packets of the same flow in Format A and Format B LSEs is 0, in a Format C LSE 7 (bits 20-22 and 25-28), and in a Format D LSE 11 (bits 20-22 and 24-31)."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,9,5.2,20,ARTEFACT,field-width,"Thus, the available bits for data that can change by a transit node or differ among packets of the same flow in Format A and Format B LSEs is 0, in a Format C LSE 7 (bits 20-22 and 25-28), and in a Format D LSE 11 (bits 20-22 and 24-31)."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,10,5.2,22,ARTEFACT,field-width,"Thus, the available bits for data that can change by a transit node or differ among packets of the same flow in Format A and Format B LSEs is 0, in a Format C LSE 7 (bits 20-22 and 25-28), and in a Format D LSE 11 (bits 20-22 and 24-31)."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,11,5.2,24,ARTEFACT,field-width,"Thus, the available bits for data that can change by a transit node or differ among packets of the same flow in Format A and Format B LSEs is 0, in a Format C LSE 7 (bits 20-22 and 25-28), and in a Format D LSE 11 (bits 20-22 and 24-31)."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,12,5.2,31,ARTEFACT,field-width,"Thus, the available bits for data that can change by a transit node or differ among packets of the same flow in Format A and Format B LSEs is 0, in a Format C LSE 7 (bits 20-22 and 25-28), and in a Format D LSE 11 (bits 20-22 and 24-31)."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,13,6.2,13,ARTEFACT,field-width-derived,"If this opcode is used with LSE Format B only, then up to 13 flags may be carried."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,14,6.2,20,ARTEFACT,field-width-derived,"If this opcode is used with LSE Format C only, then up to 20 flags may be carried."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,15,6.2,20,ARTEFACT,field-width-derived,Format D LSEs can be used with Format C LSEs to encode more than 20 flags.
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,16,6.4,127,ARTEFACT,code-point,This opcode is used to extend the current opcode range beyond 127 in the future.
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,17,6.4,127,ARTEFACT,code-point,"If this opcode is not supported, then the packet with opcode 127 MUST be dropped regardless of the setting of the U bit."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,18,12.3,15,ARTEFACT,code-point,"Note that the behavior of an MNA-incapable transit LSR that scans the label stack for FLI (including the extension label 15) and FL, but encounters a different, unrecognized reserved label first, is not modified by this document."
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,19,13.2.1,20,ARTEFACT,field-width,Bit Position 20 is the most significant bit in the first LSE Format D Data field.
RFC 9994,MPLS Network Action (MNA) Sub-Stack Specification Including In-Stack Network Actions and Data,20,13.2.1,14,ARTEFACT,field-width-derived,"There are, at most, 14 Format D LSEs per opcode (due to the NASL limit of 15 and the constraint of Format D requiring a Format C LSE), so there are at most 20 + 14 * 30 = 440 bit positions."
RFC 9993,RTP Payload Format for Haptics,1,4.2,Four,ARTEFACT,count-of-things,Four types of MIHS units are defined.
RFC 9993,RTP Payload Format for Haptics,2,5.3.2,7,ARTEFACT,code-point,The value of the UT field of the payload header is 7.
RFC 9993,RTP Payload Format for Haptics,3,5.3.3,6,ARTEFACT,code-point,The value of the UT field of the payload header is 6.
RFC 9993,RTP Payload Format for Haptics,4,6.1,23090,ARTEFACT,spec-name,The values of the SDP parameters indicated in this section are based on the current version of the MPEG Haptics Coding standard (ISO/IEC 23090-31:2025) and may be different in future versions of [ISO.IEC.23090-31].
RFC 9993,RTP Payload Format for Haptics,5,6.1,31,ARTEFACT,spec-name,The values of the SDP parameters indicated in this section are based on the current version of the MPEG Haptics Coding standard (ISO/IEC 23090-31:2025) and may be different in future versions of [ISO.IEC.23090-31].
RFC 9993,RTP Payload Format for Haptics,6,6.1,23090,ARTEFACT,spec-name,"For the initial (and current) version of the MPEG Haptics Coding standard (ISO/IEC 23090-31:2025), the value is ""2025""."
RFC 9993,RTP Payload Format for Haptics,7,6.1,31,ARTEFACT,spec-name,"For the initial (and current) version of the MPEG Haptics Coding standard (ISO/IEC 23090-31:2025), the value is ""2025""."
RFC 9993,RTP Payload Format for Haptics,8,6.1,2,ARTEFACT,enumeration-value,MPEG_haptics object.level is an integer that may contain the value 1 or 2.
RFC 9993,RTP Payload Format for Haptics,9,6.1,2,PARAM,default level,"When lvl is not present, the default value 2 SHOULD be inferred."
RFC 9993,RTP Payload Format for Haptics,10,7,8000,PARAM,borderline: typical clock rate,"The clock rate in the ""a=rtpmap"" line may be any sampling rate, typically 8000."
RFC 9993,RTP Payload Format for Haptics,11,7.1,8000,PARAM,borderline: typical sample rate,A typical sample rate is 8000 Hz.
RFC 9993,RTP Payload Format for Haptics,12,7.1,2,PARAM,"default level, restated","If it is not specified, the most general level ""2"" SHOULD be inferred, although the sender and receiver MAY use a specific version based on an out-of-band agreement."
RFC 9992,Routing in Fat Trees (RIFT) Key/Value Topology Information Elements Structure and Processing,1,2,3,ARTEFACT,field-width,*Key Identifier:* A 3-byte value that identifies the specific key and describes the semantics of any contained values.
RFC 9992,Routing in Fat Trees (RIFT) Key/Value Topology Information Elements Structure and Processing,2,2.1,2,ARTEFACT,field-width,*Key Sub-Identifier:* A 2-byte value that identifies the specific key and describes the semantics of any contained values.
RFC 9992,Routing in Fat Trees (RIFT) Key/Value Topology Information Elements Structure and Processing,3,2.3,2,ARTEFACT,code-point,"As shown in Figure 4, the Key Type is set to 2, which identifies the Key Type as Well-Known."
RFC 9992,Routing in Fat Trees (RIFT) Key/Value Topology Information Elements Structure and Processing,4,2.4,3,ARTEFACT,code-point,"As shown in Figure 5, the Key Type is set to 3, which identifies the Key Type as OUI."
RFC 9992,Routing in Fat Trees (RIFT) Key/Value Topology Information Elements Structure and Processing,5,3.1.1.1,2,ARTEFACT,idl-field-tag,"/** simple type to test correct tie-breaking based on system ID */ struct SystemIdentifierKV { 1: required common.SystemIDType system_id, 2: optional common.LevelType level, }"
RFC 9991,"Domain-Based Message Authentication, Reporting, and Conformance (DMARC) Failure Reporting",1,8,11,ARTEFACT,cross-reference,"While reviewing this document and its security considerations, the reader should also review the privacy considerations above, as well as the privacy considerations and security considerations in Sections 10 and 11 of [RFC9989] and in Sections 7 and 8 of [RFC9990]."
RFC 9991,"Domain-Based Message Authentication, Reporting, and Conformance (DMARC) Failure Reporting",2,8,8,ARTEFACT,cross-reference,"While reviewing this document and its security considerations, the reader should also review the privacy considerations above, as well as the privacy considerations and security considerations in Sections 10 and 11 of [RFC9989] and in Sections 7 and 8 of [RFC9990]."
